bubbleSort(),     5000,     1.34854786
bubbleSort(),     10000,     5.451553059666666
bubbleSort(),     15000,     12.382650013333333
bubbleSort(),     20000,     22.03131866099999
bubbleSort(),     25000,     35.23915290200001
bubbleSort(),     30000,     53.61457270166667
bubbleSort(),     35000,     72.826543329
bubbleSort(),     40000,     93.82366196100001
bubbleSort(),     45000,     118.7130070163334
bubbleSort(),     50000,     144.96006314066662
bubbleSort(),     55000,     179.0224315139999
bubbleSort(),     60000,     214.77167670933326
